"TYPE_CODE","MANUFACTURER","MODEL","ENGINE_TYPE"
"J328","328 SUPPORT SERVICES","Dornier 328JET","Jet"
"UL45","3XTRIM","450 Ultra","Piston"
"UL45","3XTRIM","Ultra","Piston"
"TR55","3XTRIM","550 Trener","Piston"
"TR55","3XTRIM","Trener  ","Piston"
"UL45","3XTRIM","3X-47 Ultra","Piston"
"TR55","3XTRIM","3X-55 Trener","Piston"
"TR55","3XTRIM","3X-LS Navigator 600","Piston"
"TR55","3XTRIM","Navigator 600","Piston"
"ELSP","A2 CZ","Ellipse Spirit","Piston"
"CE22","A-41","VNS-41","Piston"
"PETR","AAC","SeaStar","Piston"
"BMAN","AAK","Bushman","Piston"
"HRNT","AAK","Hornet","Piston"
"WSP","AAK","Wasp","Piston"
"FMGO","AAK","Flamingo","Piston"
"A9","AAMSA","A-9 Quail","Piston"
"A9","AAMSA","Quail","Piston"
"JCRU","AASI","Jetcruzer","Turboprop/Turboshaft"
"GAZL","ABHCO","Gazelle","Turboprop/Turboshaft"
"GAZL","ABHCO","SA-342 Gazelle","Turboprop/Turboshaft"
"RF9","ABS","RF-9","Piston"
"XNON","ABS AEROLIGHT","Xenon","Piston"
"MIDR","ACBA","ACBA-8 Midour 2","Piston"
"MIDR","ACBA","Midour 2","Piston"
"JACE","ACE","Junior Ace","Piston"
"SACE","ACE","Super Ace","Piston"
"ARKS","ACEAIR","A-200 Aeriks 200","Piston"
"ARKS","ACEAIR","A-200 Aeris 200","Piston"
"ARKS","ACEAIR","Aeriks 200","Piston"
"ARKS","ACEAIR","Aeris 200","Piston"
"CUB2","ACES HIGH","Cuby 2","Piston"
"ACRO","ACRO SPORT","Acro-Sport 1","Piston"
"ACR2","ACRO SPORT","Acro-Sport 2","Piston"
"COUG","ACRO SPORT","Cougar","Piston"
"JACE","ACRO SPORT","Junior Ace","Piston"
"SACE","ACRO SPORT","Super Ace","Piston"
"ACRO","ACRO SPORT","Super Acro-Sport","Piston"
"SORA","ACS (1)","ACS-100 Sora","Piston"
"SORA","ACS (1)","Sora","Piston"
"J600","ACS (2)","Skyleader 600","Piston"
"J600","ACS (2)","JA-600 Skyleader 600","Piston"
"T211","AD AEROSPACE","T-211","Piston"
"LCA","ADA","LCA Tejas","Jet"
"LCA","ADA","Tejas","Jet"
"RA14","ADAM (1)","Loisirs","Piston"
"RA14","ADAM (1)","RA-14 Loisirs","Piston"
"RA17","ADAM (1)","RA-17","Piston"
"A500","ADAM (2)","A-500","Piston"
"A500","ADAM (2)","A-500 CarbonAero","Piston"
"A700","ADAM (2)","A-700 AdamJet","Jet"
"A700","ADAM (2)","AdamJet","Jet"
"A500","ADAM (2)","CarbonAero","Piston"
"T211","ADAMS","T-211","Piston"
"BUCA","ADVANCED AEROMARINE","Mallard","Piston"
"C21T","ADVANCED AIRCRAFT","Regent 1500","Turboprop/Turboshaft"
"C10T","ADVANCED AIRCRAFT","Spirit 750","Turboprop/Turboshaft"
"C10T","ADVANCED AIRCRAFT","Turbine P210","Turboprop/Turboshaft"
"BUCA","ADVANCED AVIATION","Buccaneer","Piston"
"ADVN","ADVENTURE AIR","Adventurer","Piston"
"EX5T","AEA","Explorer 500T","Turboprop/Turboshaft"
"MAVR","AEA","Maverick","Piston"
"AM3","AERFER-AERMACCHI","AM-3","Piston"
"AMX","AERITALIA","AMX Ghibli","Jet"
"G222","AERITALIA","G-222","Turboprop/Turboshaft"
"AMX","AERITALIA","Ghibli","Jet"
"TOR","AERITALIA","Tornado","Jet"
"AM3","AERITALIA-AERMACCHI","AM-3","Piston"
"LA60","AERMACCHI","AL-60","Piston"
"LA60","AERMACCHI","AL-60 Conestoga","Piston"
"LA60","AERMACCHI","AL-60 Trojan","Piston"
"AMX","AERMACCHI","AMX Ghibli","Jet"
"LA60","AERMACCHI","Conestoga","Piston"
"AMX","AERMACCHI","Ghibli","Jet"
"F260","AERMACCHI","F-260F","Piston"
"L90","AERMACCHI","M-290TP Redigo","Turboprop/Turboshaft"
"M326","AERMACCHI","MB-326","Jet"
"M339","AERMACCHI","MB-339","Jet"
"L90","AERMACCHI","Redigo","Turboprop/Turboshaft"
"F260","AERMACCHI","T-260","Piston"
"LA60","AERMACCHI","Trojan","Piston"
"F260","AERMACCHI","F-260E","Piston"
"F260","AERMACCHI","SF-260E","Piston"
"F260","AERMACCHI","SF-260F","Piston"
"F26T","AERMACCHI","SF-260T","Turboprop/Turboshaft"
"M346","AERMACCHI","M-346 Master","Jet"
"M346","AERMACCHI","T-346 Master","Jet"
"M346","AERMACCHI","Master","Jet"
"LA60","AERMACCHI","AL-60 Loadmaster","Piston"
"LA6T","AERMACCHI","AL-60 Turbine Grizzly","Turboprop/Turboshaft"
"LA60","AERMACCHI","Loadmaster","Piston"
"LA6T","AERMACCHI","Turbine Grizzly","Turboprop/Turboshaft"
"AC72","AERO (1)","Alti Cruiser","Piston"
"AC50","AERO (1)","Commander 500","Piston"
"AC52","AERO (1)","Commander 520","Piston"
"AC56","AERO (1)","Commander 560","Piston"
"AC68","AERO (1)","Commander 680 Super","Piston"
"AC68","AERO (1)","Commander 680E","Piston"
"AC68","AERO (1)","Commander 680F","Piston"
"AC72","AERO (1)","Commander 720 Alti Cruiser","Piston"
"AC56","AERO (1)","L-26B Commander 560","Piston"
"AC68","AERO (1)","L-26C Commander 680 Super","Piston"
"AC56","AERO (1)","U-4A Commander 560","Piston"
"AC68","AERO (1)","U-4B Commander 680 Super","Piston"
"AC68","AERO (1)","U-9 Commander 680 Super","Piston"
"AE45","AERO (2)","45","Piston"
"L39","AERO (2)","Albatros","Jet"
"L159","AERO (2)","Albatros 2","Jet"
"L60","AERO (2)","Brigadyr","Piston"
"BU31","AERO (2)","C-104","Piston"
"MG15","AERO (2)","CS-102","Jet"
"L29","AERO (2)","Delfin","Jet"
"L29","AERO (2)","L-29 Delfin","Jet"
"L39","AERO (2)","L-39 Albatros","Jet"
"L59","AERO (2)","L-59","Jet"
"L60","AERO (2)","L-60 Brigadyr","Piston"
"L39","AERO (2)","L-139 Albatros","Jet"
"L159","AERO (2)","L-159","Jet"
"L159","AERO (2)","L-159  Albatros 2","Jet"
"MG15","AERO (2)","S-102","Jet"
"MG15","AERO (2)","S-103","Jet"
"BU31","AERO (2)","Z-131","Piston"
"A270","AERO (2)","Ae-270 Propjet","Turboprop/Turboshaft"
"A270","AERO (2)","Propjet","Turboprop/Turboshaft"
"AAT4","AERO (3)","AT-4","Piston"
"AAT3","AERO (3)","AT-3","Piston"
"P220","AERO (3)","P-220-AT1","Piston"
"P220","AERO (3)","P-220-AT2","Piston"
"AVTR","AERO ADVENTURE","Aventura 2","Piston"
"ZEP2","AERO ADVENTURE","Toucan","Piston"
"AB95","AERO BOERO","AB-95","Piston"
"AB11","AERO BOERO","AB-115","Piston"
"AB15","AERO BOERO","AB-150","Piston"
"AB18","AERO BOERO","AB-180","Piston"
"VO10","AERO COMMANDER","100 Commander 100","Piston"
"M200","AERO COMMANDER","200 Commander 200","Piston"
"AC50","AERO COMMANDER","500 Commander 500","Piston"
"AC56","AERO COMMANDER","560 Commander 560","Piston"
"AC68","AERO COMMANDER","680F Commander 680F","Piston"
"AC6L","AERO COMMANDER","680FL Grand Commander","Piston"
"AC68","AERO COMMANDER","680FP Commander 680FP","Piston"
"AC80","AERO COMMANDER","680T Turbo Commander","Turboprop/Turboshaft"
"AC80","AERO COMMANDER","680V Turbo Commander","Turboprop/Turboshaft"
"JCOM","AERO COMMANDER","1121 Jet Commander","Jet"
"A9","AERO COMMANDER","A-9 Ag Commander","Piston"
"A9","AERO COMMANDER","Ag Commander (A-9)","Piston"
"CLB1","AERO COMMANDER","Ag Commander (B-1)","Piston"
"SS2P","AERO COMMANDER","Ag Commander (S-2)","Piston"
"CLB1","AERO COMMANDER","B-1 Ag Commander","Piston"
"VO10","AERO COMMANDER","Commander 100","Piston"
"M200","AERO COMMANDER","Commander 200","Piston"
"AC50","AERO COMMANDER","Commander 500","Piston"
"AC56","AERO COMMANDER","Commander 560","Piston"
"AC68","AERO COMMANDER","Commander 680F","Piston"
"AC68","AERO COMMANDER","Commander 680FP","Piston"
"AC6L","AERO COMMANDER","Grand Commander","Piston"
"JCOM","AERO COMMANDER","Jet Commander","Jet"
"SS2P","AERO COMMANDER","S-2 Ag Commander","Piston"
"AC80","AERO COMMANDER","Turbo Commander (680)","Turboprop/Turboshaft"
"PULS","AERO DESIGNS","Pulsar","Piston"
"R22","AERO ELI","Yo-Yo","Piston"
"AGSH","AERO GARE","Sea Hawker","Piston"
"PETL","AERO ITBA","Petrel","Piston"
"RF5","AERO JAEN","RF-5 Serrania","Piston"
"RF5","AERO JAEN","Serrania","Piston"
"SCUB","AERO KUHLMANN","Scub","Piston"
"GAVI","AERO MERCANTIL","358 Gavilan","Piston"
"GAVI","AERO MERCANTIL","Gavilan","Piston"
"TC2","AERO MIRAGE","TC-2","Piston"
"G164","AERO MOD","G-164 Super Ag Max","Piston"
"G164","AERO MOD","Super Ag Max","Piston"
"GUEP","AERO SERVICES","Guepard","Piston"
"GUEP","AERO SERVICES","Guepy","Piston"
"GUEP","AERO SERVICES","Super Guepard","Piston"
"GEPE","AERO SERVICES","Guêpe ","Piston"
"SGUP","AERO SPACELINES","377SGT Super Guppy","Turboprop/Turboshaft"
"SGUP","AERO SPACELINES","Super Guppy","Turboprop/Turboshaft"
"QUAS","AEROALCOOL","Quasar Lite","Piston"
"MX80","AEROANDINA","Fantasy","Piston"
"MX80","AEROANDINA","MXP-800 Fantasy","Piston"
"MX1T","AEROANDINA","MXP-1000 Tayrona","Piston"
"MX1T","AEROANDINA","Tayrona","Piston"
"MX58","AEROANDINA","MXP-158 Embera","Piston"
"MX58","AEROANDINA","Embera","Piston"
"MX1T","AEROANDINA","MXP-150 Kimbaya","Piston"
"MX1T","AEROANDINA","Kimbaya","Piston"
"OKHO","AERO-ASTRA","Okhotnik","Piston"
"CH70","AEROBRAVO","Bravo","Piston"
"COZY","AEROCAD","AeroCanard","Piston"
"CAR","AEROCAR","Aerocar","Piston"
"COOT","AEROCAR","Coot","Piston"
"MIMP","AEROCAR","Mini-Imp","Piston"
"COOT","AEROCAR","Super Coot","Piston"
"CA3","AEROCOMP","CA-3 Comp Air 3","Piston"
"CA4","AEROCOMP","CA-4 Comp Air 4","Piston"
"CA4","AEROCOMP","CA-4 Comp Monster","Piston"
"CA6","AEROCOMP","CA-6 Comp Air 6","Piston"
"CA7P","AEROCOMP","CA-7P Comp Air 7P","Piston"
"CA7P","AEROCOMP","CA-7SL Comp Air 7SL","Piston"
"CA7T","AEROCOMP","CA-7SLX Comp Air 7SLX","Turboprop/Turboshaft"
"CA7T","AEROCOMP","CA-7T Comp Air 7T","Turboprop/Turboshaft"
"CA8","AEROCOMP","CA-8 Comp Air 8","Turboprop/Turboshaft"
"CA1P","AEROCOMP","CA-10 Comp Air 10","Piston"
"CA1T","AEROCOMP","CA-10T  Comp Air 10T","Turboprop/Turboshaft"
"CA1T","AEROCOMP","CA-10XLT Comp Air 10XLT","Turboprop/Turboshaft"
"CA3","AEROCOMP","Comp Air 3","Piston"
"CA4","AEROCOMP","Comp Air 4","Piston"
"CA6","AEROCOMP","Comp Air 6","Piston"
"CA7P","AEROCOMP","Comp Air 7P","Piston"
"CA7P","AEROCOMP","Comp Air 7SL","Piston"
"CA7T","AEROCOMP","Comp Air 7SLX","Turboprop/Turboshaft"
"CA7T","AEROCOMP","Comp Air 7T","Turboprop/Turboshaft"
"CA8","AEROCOMP","Comp Air 8","Turboprop/Turboshaft"
"CA1P","AEROCOMP","Comp Air 10","Piston"
"CA1T","AEROCOMP","Comp Air 10T","Turboprop/Turboshaft"
"CA4","AEROCOMP","Comp Monster","Piston"
"EZFL","AEROCOMP","E-Z Flyer","Piston"
"MAME","AEROCOMP","Merlin","Piston"
"CA1T","AEROCOMP","Comp Air 10XLT","Turboprop/Turboshaft"
"AGSH","AERO-COMPOSITES","Sea Hawker","Piston"
"D11","AERO-DIFUSION","Compostela","Piston"
"D11","AERO-DIFUSION","D-112 Popuplane","Piston"
"D11","AERO-DIFUSION","D-119 Popuplane","Piston"
"D11","AERO-DIFUSION","D-1190S Compostela","Piston"
"D11","AERO-DIFUSION","Popuplane","Piston"
"G800","AERODIS","G-802 Orion","Piston"
"G800","AERODIS","Orion","Piston"
"J177","AERODYNOS","Evolution","Piston"
"J177","AERODYNOS","JA-177 Evolution","Piston"
"J177","AERODYNOS","JA-177 Pingouin","Piston"
"J177","AERODYNOS","Pingouin","Piston"
"MX58","AERO-EAST-EUROPE","MPX-158 Embera","Piston"
"MX58","AERO-EAST-EUROPE","Embera","Piston"
"MX1T","AERO-EAST-EUROPE","MXP-155 Tayrona","Piston"
"MX1T","AERO-EAST-EUROPE","Tayrona","Piston"
"S450","AERO-EAST-EUROPE","SILA-450","Piston"
"ISAT","AEROJAMES","01 Isatis","Piston"
"ISAT","AEROJAMES","Isatis","Piston"
"D11","AERO-JODEL","D-11","Piston"
"ZA6","AEROKOPTER","AK-1","Piston"
"ZA6","AEROKOPTER","ZA-6 Sanka","Piston"
"ZA6","AEROKOPTER","Sanka","Piston"
"MP02","AERO-KROS","MP-02 Czajka","Piston"
"MP02","AERO-KROS","Czajka","Piston"
"LOCA","AEROLAB","LoCamp","Piston"
"SKIF","AEROLITES","AeroSkiff","Piston"
"F8L","AEROMERE","F-8L Falco","Piston"
"F8L","AEROMERE","Falco","Piston"
"RF10","AEROMOT","AMT-100 Ximango","Piston"
"RF10","AEROMOT","AMT-200 Super Ximango","Piston"
"RF10","AEROMOT","AMT-300 Turbo Ximango Shark","Piston"
"GURI","AEROMOT","AMT-600 Guri","Piston"
"GURI","AEROMOT","Guri","Piston"
"RF10","AEROMOT","Super Ximango","Piston"
"RF10","AEROMOT","TG-14 Super Ximango","Piston"
"RF10","AEROMOT","Turbo Ximango Shark","Piston"
"RF10","AEROMOT","Ximango","Piston"
"CH7A","AERONCA","7AC Champion","Piston"
"CH7A","AERONCA","7BCM","Piston"
"CH7A","AERONCA","7CC Champion","Piston"
"CH7A","AERONCA","7CCM","Piston"
"CH7A","AERONCA","7DC Champion","Piston"
"CH7A","AERONCA","7EC Traveler","Piston"
"AR11","AERONCA","11 Chief","Piston"
"AR15","AERONCA","15 Sedan","Piston"
"CH7A","AERONCA","Champion","Piston"
"CH7A","AERONCA","L-16","Piston"
"AR15","AERONCA","Sedan","Piston"
"CH7A","AERONCA","Traveler","Piston"
"AR11","AERONCA","Chief (11)","Piston"
"AERK","AERONCA","K Scout","Piston"
"AERK","AERONCA","K Sea Scout","Piston"
"AERK","AERONCA","CF Scout","Piston"
"AERK","AERONCA","Scout","Piston"
"AERK","AERONCA","Sea  Scout","Piston"
"AR50","AERONCA","50 Chief","Piston"
"AR50","AERONCA","Chief (50)","Piston"
"AR65","AERONCA","65 Super Chief","Piston"
"AR65","AERONCA","Super Chief","Piston"
"AR5T","AERONCA","50 Tandem","Piston"
"AR5T","AERONCA","Tandem (50)","Piston"
"AR6T","AERONCA","60 Tandem","Piston"
"AR6T","AERONCA","Tandem (60)","Piston"
"AR6T","AERONCA","65 Tandem","Piston"
"AR6T","AERONCA","Tandem (65)","Piston"
"AR6T","AERONCA","65 Defender","Piston"
"AR6T","AERONCA","Defender","Piston"
"AR6T","AERONCA","YO-58 Grasshopper","Piston"
"AR6T","AERONCA","O-58 Grasshopper","Piston"
"AR6T","AERONCA","L-3 Grasshopper","Piston"
"AR6T","AERONCA","Grasshopper","Piston"
"AIRL","AERONIX","Airelle","Piston"
"LGND","AEROPILOT","Legend","Piston"
"LAKX","AEROPLASTIKA","LAK-X","Piston"
"A19","AEROPRACT","A-19","Piston"
"A21","AEROPRACT","A-21 Solo","Piston"
"A23","AEROPRACT","A-23 Dragon","Piston"
"A25","AEROPRACT","A-25 Breeze","Piston"
"A27","AEROPRACT","A-27","Piston"
"A33","AEROPRACT","A-33","Piston"
"AA37","AEROPRACT","A-37","Piston"
"A25","AEROPRACT","Breeze","Piston"
"A23","AEROPRACT","Dragon","Piston"
"A21","AEROPRACT","Solo","Piston"
"AP20","AEROPRAKT","A-20","Piston"
"AP20","AEROPRAKT","A-20 Sky Cruiser","Piston"
"AP20","AEROPRAKT","A-20 Super Cruiser","Piston"
"AP20","AEROPRAKT","A-20 Varlet","Piston"
"AP20","AEROPRAKT","A-20 Vista","Piston"
"AP22","AEROPRAKT","A-22","Piston"
"AP22","AEROPRAKT","A-22 Foxbat","Piston"
"AP22","AEROPRAKT","A-22 Valor","Piston"
"AP22","AEROPRAKT","A-22 Vision","Piston"
"AP24","AEROPRAKT","A-24 Viking","Piston"
"AP26","AEROPRAKT","A-26 Twin Vista","Piston"
"AP28","AEROPRAKT","A-28 Victor","Piston"
"AP36","AEROPRAKT","A-36 Vulcan","Piston"
"AP22","AEROPRAKT","Foxbat","Piston"
"AP20","AEROPRAKT","SA-20 Vista","Piston"
"AP26","AEROPRAKT","SA-26 Twin Vista","Piston"
"AP28","AEROPRAKT","SA-28 Victor","Piston"
"AP20","AEROPRAKT","Sky Cruiser","Piston"
"AP20","AEROPRAKT","Super Cruiser","Piston"
"AP26","AEROPRAKT","Twin Vista","Piston"
"AP22","AEROPRAKT","Valor","Piston"
"AP20","AEROPRAKT","Varlet","Piston"
"AP28","AEROPRAKT","Victor","Piston"
"AP24","AEROPRAKT","Viking","Piston"
"AP22","AEROPRAKT","Vision","Piston"
"AP20","AEROPRAKT","Vista","Piston"
"AP36","AEROPRAKT","Vulcan","Piston"
"AP32","AEROPRAKT","A-32 Vixxen","Piston"
"AP32","AEROPRAKT","Vixxen","Piston"
"AP22","AEROPRAKT","A-22 Sharik","Piston"
"AP22","AEROPRAKT","Sharik","Piston"
"AP22","AEROPRAKT","A-22 Kelpie","Piston"
"AP22","AEROPRAKT","Kelpie","Piston"
"EFOX","AEROPRO","Eurofox","Piston"
"T411","AEROPROGRESS","Aist-2","Piston"
"T101","AEROPROGRESS","Grach","Turboprop/Turboshaft"
"T101","AEROPROGRESS","T-101 Grach","Turboprop/Turboshaft"
"T411","AEROPROGRESS","T-411 Aist-2","Piston"
"APUP","AEROPUP","Aeropup","Piston"
"DNGO","AERORIC","Dingo","Turboprop/Turboshaft"
"UL2F","AEROS","Flamingo","Piston"
"UL2F","AEROS","UL-2000 Flamingo","Piston"
"F41E","AEROSAMARA","El'brus","Piston"
"KATR","AEROSAMARA","Katran","Piston"
"F41E","AEROSAMARA","F-41 El'brus","Piston"
"MH46","AEROSETTE","MH-46 Eclipse","Piston"
"MH46","AEROSETTE","Eclipse","Piston"
"ALO2","AEROSPATIALE","Alouette 2","Turboprop/Turboshaft"
"ALO3","AEROSPATIALE","Alouette 3","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332B1 Super Puma","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332B Super Puma","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332C Super Puma","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332F1 Super Puma","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332L1 Super Puma","Turboprop/Turboshaft"
"AS3B","AEROSPATIALE","AS-332L2 Super Puma Mk2","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332L Super Puma","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332L Tiger","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332M1 Super Puma","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-332M Super Puma","Turboprop/Turboshaft"
"AS50","AEROSPATIALE","AS-350 AStar","Turboprop/Turboshaft"
"AS50","AEROSPATIALE","AS-350 Ecureuil","Turboprop/Turboshaft"
"AS50","AEROSPATIALE","AS-350 SuperStar","Turboprop/Turboshaft"
"AS55","AEROSPATIALE","AS-355 Ecureuil 2","Turboprop/Turboshaft"
"AS55","AEROSPATIALE","AS-355 TwinStar","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","AS-365 Dauphin 2","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","AS-366 Dolphin","Turboprop/Turboshaft"
"AS3B","AEROSPATIALE","AS-532A2 Cougar Mk2","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-532SC Cougar","Turboprop/Turboshaft"
"AS3B","AEROSPATIALE","AS-532U2 Cougar Mk2","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-532UC Cougar","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","AS-532UL Cougar","Turboprop/Turboshaft"
"AS50","AEROSPATIALE","AS-550 Fennec","Turboprop/Turboshaft"
"AS55","AEROSPATIALE","AS-555 Fennec","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","AS-565 Panther","Turboprop/Turboshaft"
"AS50","AEROSPATIALE","AStar","Turboprop/Turboshaft"
"PUMA","AEROSPATIALE","CH-33 Puma","Turboprop/Turboshaft"
"FOUG","AEROSPATIALE","CM-170R Magister","Jet"
"S601","AEROSPATIALE","Corvette","Jet"
"AS32","AEROSPATIALE","Cougar","Turboprop/Turboshaft"
"AS3B","AEROSPATIALE","Cougar Mk2","Turboprop/Turboshaft"
"S360","AEROSPATIALE","Dauphin","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","Dauphin 2 (AS-365, SA-365F/N)","Turboprop/Turboshaft"
"S65C","AEROSPATIALE","Dauphin 2 (SA-365C)","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","Dolphin","Turboprop/Turboshaft"
"AS50","AEROSPATIALE","Ecureuil","Turboprop/Turboshaft"
"AS55","AEROSPATIALE","Ecureuil 2","Turboprop/Turboshaft"
"TB30","AEROSPATIALE","Epsilon","Piston"
"AS50","AEROSPATIALE","Fennec (AS-550)","Turboprop/Turboshaft"
"AS55","AEROSPATIALE","Fennec (AS-555)","Turboprop/Turboshaft"
"N262","AEROSPATIALE","Frégate","Turboprop/Turboshaft"
"GAZL","AEROSPATIALE","Gazelle","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","HH-65 Dolphin","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","Hkp10 Super Puma","Turboprop/Turboshaft"
"LAMA","AEROSPATIALE","Lama","Turboprop/Turboshaft"
"FOUG","AEROSPATIALE","Magister","Jet"
"N262","AEROSPATIALE","Mohawk 298","Turboprop/Turboshaft"
"N262","AEROSPATIALE","N-262","Turboprop/Turboshaft"
"N262","AEROSPATIALE","N-262 Frégate","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","Panther","Turboprop/Turboshaft"
"PUMA","AEROSPATIALE","Puma","Turboprop/Turboshaft"
"LAMA","AEROSPATIALE","SA-315 Lama","Turboprop/Turboshaft"
"ALO3","AEROSPATIALE","SA-316 Alouette 3","Turboprop/Turboshaft"
"ALO2","AEROSPATIALE","SA-318 Alouette 2","Turboprop/Turboshaft"
"ALO3","AEROSPATIALE","SA-319 Alouette 3","Turboprop/Turboshaft"
"FREL","AEROSPATIALE","SA-321 Super Frelon","Turboprop/Turboshaft"
"PUMA","AEROSPATIALE","SA-330 Puma","Turboprop/Turboshaft"
"GAZL","AEROSPATIALE","SA-341 Gazelle","Turboprop/Turboshaft"
"GAZL","AEROSPATIALE","SA-342 Gazelle","Turboprop/Turboshaft"
"S360","AEROSPATIALE","SA-360 Dauphin","Turboprop/Turboshaft"
"S360","AEROSPATIALE","SA-361 Dauphin","Turboprop/Turboshaft"
"S65C","AEROSPATIALE","SA-365C Dauphin 2","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","SA-365F Dauphin 2","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","SA-365K Panther","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","SA-365M Panther","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","SA-365N Dauphin 2","Turboprop/Turboshaft"
"AS65","AEROSPATIALE","SA-366 Dolphin","Turboprop/Turboshaft"
"S601","AEROSPATIALE","SN-601 Corvette","Jet"
"FREL","AEROSPATIALE","Super Frelon","Turboprop/Turboshaft"
"AS32","AEROSPATIALE","Super Puma","Turboprop/Turboshaft"
"AS3B","AEROSPATIALE","Super Puma Mk2","Turboprop/Turboshaft"
"AS50","AEROSPATIALE","SuperStar","Turboprop/Turboshaft"
"TB30","AEROSPATIALE","TB-30 Epsilon","Piston"
"AS32","AEROSPATIALE","Tiger","Turboprop/Turboshaft"
"AS55","AEROSPATIALE","TwinStar","Turboprop/Turboshaft"
"WT9","AEROSPOOL","Dynamic","Piston"
"WT9","AEROSPOOL","WT-9 Dynamic","Piston"
"WT10","AEROSPOOL","WT-10 Advantic","Piston"
"WT10","AEROSPOOL","Advantic","Piston"
"QAIL","AEROSPORT","Quail","Piston"
"RAIL","AEROSPORT","Rail","Piston"
"SCAM","AEROSPORT","Scamp","Piston"
"WOPU","AEROSPORT","Woody Pusher","Piston"
"M10","AEROSTAR (1)","90","Piston"
"M20P","AEROSTAR (1)","200","Piston"
"M20P","AEROSTAR (1)","201","Piston"
"M20P","AEROSTAR (1)","202","Piston"
"M20P","AEROSTAR (1)","220","Piston"
"AEST","AEROSTAR (1)","600","Piston"
"AEST","AEROSTAR (1)","601","Piston"
"FJ10","AEROSTAR (1)","FJ-100","Jet"
"FEST","AEROSTAR (2)","01 Festival","Piston"
"FEST","AEROSTAR (2)","Festival","Piston"
"YK52","AEROSTAR (2)","Iak-52","Piston"
"MG21","AEROSTAR (2)","Lancer","Jet"
"MG21","AEROSTAR (2)","MiG-21 Lancer","Jet"
"WILT","AEROSTAR (2)","Wild Thing","Piston"
"WILT","AEROSTAR (2)","WT-01 Wild Thing","Piston"
"WILT","AEROSTAR (2)","WT-02 Wild Thing","Piston"
"YK52","AEROSTAR (2)","Yak-52","Piston"
"YK52","AEROSTAR (2)","Yak-54","Piston"
"FEST","AEROSTAR (2)","R40S Festival","Piston"
"RF10","AEROSTRUCTURE","RF-10","Piston"
"BREZ","AEROSTYLE","Breezer","Piston"
"A122","AEROTEC (1)","A-122 Uirapuru","Piston"
"A122","AEROTEC (1)","T-23 Uirapuru","Piston"
"A122","AEROTEC (1)","Uirapuru","Piston"
"MX65","AEROTEC (2)","Amigo","Piston"
"MX10","AEROTEC (2)","Aventura","Piston"
"MX80","AEROTEC (2)","Fantasy","Piston"
"MX10","AEROTEC (2)","MXP-100 Aventura","Piston"
"MX65","AEROTEC (2)","MXP-650 Amigo","Piston"
"SVNH","AEROTEC (2)","MXP-740 Savannah","Piston"
"MX80","AEROTEC (2)","MXP-800 Fantasy","Piston"
"SVNH","AEROTEC (2)","Savannah","Piston"
"F260","AEROTECH","SF-260F","Piston"
"F260","AEROTECH","F-260F","Piston"
"P220","AEROTECHNIK","Koala","Piston"
"L13S","AEROTECHNIK","L-13S Super Vivat","Piston"
"L13S","AEROTECHNIK","L-13S Vivat","Piston"
"P220","AEROTECHNIK","P-220 Koala","Piston"
"L13S","AEROTECHNIK","Super Vivat","Piston"
"L13S","AEROTECHNIK","Vivat","Piston"
"PTS1","AEROTEK (1)","Pitts S-1 Special","Piston"
"PTS2","AEROTEK (1)","Pitts S-2 Special","Piston"
"HUMM","AEROTEK (2)","Hummingbird","Piston"
"GRIZ","AEROTEK (3)","Turbo Grizzly","Turboprop/Turboshaft"
"EFOX","AEROTREK","A-220","Piston"
"EFOX","AEROTREK","A-240","Piston"
"L6","AEROVOLGA","L-6","Piston"
"LA8","AEROVOLGA","LA-8 Flagman","Piston"
"LA8","AEROVOLGA","Flagman","Piston"
"TOUR","AESL","Airtourer","Piston"
"CT4","AESL","Airtrainer","Piston"
"CT4","AESL","CT-4 Airtrainer","Piston"
"OSCR","AFIC","Falcon","Piston"
"OSCR","AFIC","RSA-200 Falcon","Piston"
